ecoli,saureus
2.067004585266113281e+01,5.057700347900390625e+01
6.631683349609375000e+01,1.071284713745117188e+02
8.373874664306640625e+01,1.037162933349609375e+02
1.111246337890625000e+02,1.299441833496093750e+02
1.408492126464843750e+02,1.448405456542968750e+02
1.166186523437500000e+02,1.425966491699218750e+02
9.401685333251953125e+01,9.944648742675781250e+01
1.323029022216796875e+02,1.327030029296875000e+02
1.113581619262695312e+02,1.223423538208007812e+02
1.362805023193359375e+02,1.423529052734375000e+02
1.155612182617187500e+02,1.382338562011718750e+02
3.532062149047851562e+01,9.845516967773437500e+01
1.367349700927734375e+02,1.380186157226562500e+02
1.157564620971679688e+02,1.220073699951171875e+02
1.389311981201171875e+02,1.391829071044921875e+02
8.326947784423828125e+01,1.383605041503906250e+02
7.191378021240234375e+01,8.682565307617187500e+01
7.975046539306640625e+01,8.377595520019531250e+01
6.048680114746093750e+01,1.355222778320312500e+02
9.102410125732421875e+01,9.510620880126953125e+01
8.894278717041015625e+01,1.146418304443359375e+02
4.696788024902343750e+01,7.948481750488281250e+01
8.065296173095703125e+01,8.896438598632812500e+01
1.204618835449218750e+01,5.226729583740234375e+01
1.151910171508789062e+02,1.211401596069335938e+02
1.213375167846679688e+02,1.326860351562500000e+02
7.960443115234375000e+01,4.761045074462890625e+01
1.342265777587890625e+02,1.332143249511718750e+02
1.002524185180664062e+02,1.320175781250000000e+02
1.410136260986328125e+02,1.409474182128906250e+02
7.804135894775390625e+01,1.147871246337890625e+02
1.074521408081054688e+02,1.139264068603515625e+02
1.171295471191406250e+02,1.319152832031250000e+02
1.061995925903320312e+02,1.186479644775390625e+02
6.863845825195312500e+01,1.016043624877929688e+02
1.310982360839843750e+02,1.339162139892578125e+02
8.634415435791015625e+01,9.529959869384765625e+01
1.220331802368164062e+02,1.300554199218750000e+02
4.830393981933593750e+01,1.242704620361328125e+02
9.279248046875000000e+01,1.146917190551757812e+02
1.118702392578125000e+02,1.263832702636718750e+02
1.100665359497070312e+02,1.275468444824218750e+02
1.341183471679687500e+02,1.336204833984375000e+02
1.097832870483398438e+02,1.209864807128906250e+02
1.092215652465820312e+02,1.304885864257812500e+02
1.333429565429687500e+02,1.458376159667968750e+02
9.853749847412109375e+01,1.148968811035156250e+02
1.346283569335937500e+02,1.332893524169921875e+02
8.061145782470703125e+01,1.086718750000000000e+02
1.005976333618164062e+02,1.241046981811523438e+02
5.666091918945312500e+01,1.040675430297851562e+02
8.237679290771484375e+01,8.475113677978515625e+01
1.310150604248046875e+02,1.384434204101562500e+02
1.329585723876953125e+02,1.327192993164062500e+02
1.016289367675781250e+02,1.333063964843750000e+02
1.373099670410156250e+02,1.370689392089843750e+02
3.007110595703125000e+01,6.462683868408203125e+01
1.308646697998046875e+02,1.432143554687500000e+02
1.108459091186523438e+02,1.356528320312500000e+02
1.393848419189453125e+02,1.304072723388671875e+02
1.273865280151367188e+02,1.343798828125000000e+02
1.392541046142578125e+02,1.407576599121093750e+02
1.198080444335937500e+02,1.260069198608398438e+02
1.342154541015625000e+02,1.410939331054687500e+02
1.188705749511718750e+02,1.337759399414062500e+02
9.473413085937500000e+01,1.138890914916992188e+02
1.273052978515625000e+02,1.321815643310546875e+02
8.985535430908203125e+01,1.172224349975585938e+02
7.156986236572265625e+01,1.132638397216796875e+02
3.665534973144531250e+01,5.895530700683593750e+01
1.896719741821289062e+01,5.691719436645507812e+01
1.261617813110351562e+02,1.359608154296875000e+02
1.893922996520996094e+01,5.932021331787109375e+01
7.711180877685546875e+01,6.089768981933593750e+01
1.157204589843750000e+02,1.306805267333984375e+02
1.090037612915039062e+02,1.313468933105468750e+02
6.126414108276367188e+01,1.333259582519531250e+02
7.586315155029296875e+01,9.531036376953125000e+01
9.996559906005859375e+01,1.372366180419921875e+02
1.329912567138671875e+02,1.411403961181640625e+02
7.422778320312500000e+01,8.992704772949218750e+01
4.831489944458007812e+01,7.059759521484375000e+01
1.138745422363281250e+02,1.401463012695312500e+02
1.363339385986328125e+02,1.295010681152343750e+02
1.378066864013671875e+02,1.399868621826171875e+02
1.279609909057617188e+02,1.405323791503906250e+02
1.367118682861328125e+02,1.383476867675781250e+02
9.580478668212890625e+01,1.109733505249023438e+02
1.067729110717773438e+02,9.570624542236328125e+01
7.800199890136718750e+01,9.398190307617187500e+01
1.316463470458984375e+02,1.416317443847656250e+02
1.365065765380859375e+02,1.347824859619140625e+02
1.155556030273437500e+02,1.126277618408203125e+02
4.946575546264648438e+01,8.934867858886718750e+01
1.019367065429687500e+02,1.389288330078125000e+02
4.184029006958007812e+01,9.213854980468750000e+01
1.334391479492187500e+02,1.347579498291015625e+02
1.088794631958007812e+02,1.116017608642578125e+02
8.991667938232421875e+01,1.077504882812500000e+02
1.093966979980468750e+02,1.209240264892578125e+02
1.200761699676513672e+01,1.489249038696289062e+01
1.106040115356445312e+02,1.424920959472656250e+02
1.256151733398437500e+02,1.295287170410156250e+02
4.330589294433593750e+01,5.119654083251953125e+01
1.221709213256835938e+02,1.375904541015625000e+02
6.259737014770507812e+01,1.188633880615234375e+02
9.054372406005859375e+01,1.388408050537109375e+02
8.338401031494140625e+01,1.445367279052734375e+02
1.056639175415039062e+02,1.281006622314453125e+02
7.605478668212890625e+01,1.388039855957031250e+02
1.328688812255859375e+02,1.319359436035156250e+02
1.216377029418945312e+02,1.357703704833984375e+02
1.246659545898437500e+02,1.321701660156250000e+02
9.049996185302734375e+01,1.000229644775390625e+02
9.436867523193359375e+01,1.067226257324218750e+02
7.396314239501953125e+01,1.162842330932617188e+02
1.276775817871093750e+02,1.333444061279296875e+02
1.293079376220703125e+02,1.375351562500000000e+02
8.001590728759765625e+01,1.054156494140625000e+02
1.372450256347656250e+02,1.357694396972656250e+02
1.138041763305664062e+02,1.289445800781250000e+02
8.687087249755859375e+01,1.109011840820312500e+02
1.099601745605468750e+02,1.218404693603515625e+02
1.311917877197265625e+02,1.347676391601562500e+02
1.263085937500000000e+02,1.381209716796875000e+02
5.042080688476562500e+01,5.183293151855468750e+01
5.175956344604492188e+01,1.251842346191406250e+02
1.005356216430664062e+02,1.221570587158203125e+02
5.947761917114257812e+01,9.903295898437500000e+01
1.293888549804687500e+02,1.265954895019531250e+02
1.296367797851562500e+02,1.408179321289062500e+02
7.757403564453125000e+01,1.107197723388671875e+02
1.138412094116210938e+02,1.313819580078125000e+02
1.177869644165039062e+02,1.292959136962890625e+02
7.842423248291015625e+01,1.139591674804687500e+02
6.077225875854492188e+01,3.140874099731445312e+01
1.374089965820312500e+02,1.388790588378906250e+02
3.717885971069335938e+01,6.755253601074218750e+01
1.238645324707031250e+02,1.331048889160156250e+02
2.601683235168457031e+01,1.611127853393554688e+01
2.292066001892089844e+01,5.098618316650390625e+01
1.324300689697265625e+02,1.351245422363281250e+02
1.011921005249023438e+02,1.182939300537109375e+02
1.085173110961914062e+02,1.310614624023437500e+02
4.133184814453125000e+01,7.369792938232421875e+01
1.314122467041015625e+02,1.426429748535156250e+02
1.213405990600585938e+02,1.097048034667968750e+02
1.138473739624023438e+02,1.398854370117187500e+02
1.318505249023437500e+02,1.347050476074218750e+02
5.586853408813476562e+01,9.793669891357421875e+01
1.029371414184570312e+02,1.219670410156250000e+02
1.271135330200195312e+02,1.312494201660156250e+02
9.931804656982421875e+01,1.200943222045898438e+02
1.365040740966796875e+02,1.402501525878906250e+02
1.003093032836914062e+02,1.257447967529296875e+02
9.585720062255859375e+01,9.981948852539062500e+01
2.285748863220214844e+01,7.084367370605468750e+01
1.314090881347656250e+02,1.427070617675781250e+02
1.361628417968750000e+02,1.405684204101562500e+02
1.203582153320312500e+02,1.415323486328125000e+02
1.329128723144531250e+02,1.392150573730468750e+02
1.122755336761474609e+01,4.551336669921875000e+01
1.430022735595703125e+02,1.397848052978515625e+02
1.156517257690429688e+02,1.174897003173828125e+02
9.752276611328125000e+01,1.066277160644531250e+02
3.168929290771484375e+01,4.701544570922851562e+01
9.064138031005859375e+01,1.143290252685546875e+02
1.386423492431640625e+02,1.359187927246093750e+02
1.310986175537109375e+02,1.272214050292968750e+02
5.745358276367187500e+01,3.008715820312500000e+01
1.287030487060546875e+02,1.378755187988281250e+02
1.328815917968750000e+02,1.352129516601562500e+02
9.395830535888671875e+01,1.050301284790039062e+02
8.272751617431640625e+01,1.131384887695312500e+02
1.222250061035156250e+02,1.353579406738281250e+02
6.692551422119140625e+01,1.137353668212890625e+02
1.275465011596679688e+01,2.988951301574707031e+01
1.358657989501953125e+02,1.415457153320312500e+02
7.979730224609375000e+01,1.272704772949218750e+02
8.848488616943359375e+01,1.237069625854492188e+02
9.176236724853515625e+01,1.085587005615234375e+02
1.181988296508789062e+02,1.305903930664062500e+02
6.871695709228515625e+01,1.028458328247070312e+02
9.302771759033203125e+01,1.162609024047851562e+02
1.142472915649414062e+02,1.296737060546875000e+02
1.187025527954101562e+02,1.265565032958984375e+02
1.048953552246093750e+02,1.352724151611328125e+02
5.067251586914062500e+01,9.915466308593750000e+01
1.350004730224609375e+02,1.377452392578125000e+02
3.980339050292968750e+01,6.593241119384765625e+01
1.260604476928710938e+02,1.361268310546875000e+02
9.491351318359375000e+01,1.423357238769531250e+02
1.223759231567382812e+02,1.236434326171875000e+02
1.220512771606445312e+02,1.406795959472656250e+02
9.561834716796875000e+01,1.272360839843750000e+02
6.885277557373046875e+01,1.165494842529296875e+02
5.174449539184570312e+01,1.263389587402343750e+02
1.182058715820312500e+02,1.241286010742187500e+02
1.342050628662109375e+02,1.355237426757812500e+02
1.291771240234375000e+02,1.339400482177734375e+02
1.297498626708984375e+02,1.431680908203125000e+02
4.444705581665039062e+01,9.363717651367187500e+01
9.347784423828125000e+01,1.220498580932617188e+02
7.473238372802734375e+01,1.042037963867187500e+02
1.198042831420898438e+02,1.382660522460937500e+02
1.417502288818359375e+02,1.407117919921875000e+02
7.258341979980468750e+01,6.625170898437500000e+01
1.390336151123046875e+02,1.386235961914062500e+02
1.100271530151367188e+02,1.200966186523437500e+02
6.558062744140625000e+01,6.954848480224609375e+01
1.306325073242187500e+02,1.448098144531250000e+02
1.160094833374023438e+02,1.347407226562500000e+02
9.715958404541015625e+01,1.139142303466796875e+02
9.109929656982421875e+01,1.252705459594726562e+02
5.913199996948242188e+01,1.153936996459960938e+02
6.502860260009765625e+01,9.864209747314453125e+01
1.260956039428710938e+02,1.393162994384765625e+02
1.374755249023437500e+02,1.382005920410156250e+02
5.832648849487304688e+01,1.149623565673828125e+02
1.235048522949218750e+02,1.230694122314453125e+02
1.027487411499023438e+02,6.876170349121093750e+01
1.685843086242675781e+01,3.836448669433593750e+01
1.214261474609375000e+02,1.340909118652343750e+02
1.352701721191406250e+02,1.305414428710937500e+02
4.704545974731445312e+01,1.158173599243164062e+02
4.166364288330078125e+01,7.293418121337890625e+01
1.331241607666015625e+02,1.366218261718750000e+02
1.221712417602539062e+02,1.262391281127929688e+02
6.171506881713867188e+01,1.229331970214843750e+02
1.284985961914062500e+02,1.378892211914062500e+02
1.241964721679687500e+02,1.421180419921875000e+02
1.059260177612304688e+02,1.366047363281250000e+02
1.291664581298828125e+02,1.431459960937500000e+02
1.212885360717773438e+02,1.353381805419921875e+02
7.816493988037109375e+01,1.383086853027343750e+02
2.162291908264160156e+01,3.020365142822265625e+01
1.175670776367187500e+02,1.241344146728515625e+02
1.131642150878906250e+02,1.385816955566406250e+02
4.120132446289062500e+01,8.639964294433593750e+01
7.669381713867187500e+01,9.665657043457031250e+01
5.450395584106445312e+01,1.248954238891601562e+02
9.153619384765625000e+01,1.273879776000976562e+02
1.185568008422851562e+02,1.140044860839843750e+02
1.399494171142578125e+02,1.448957519531250000e+02
1.185627059936523438e+02,1.347665863037109375e+02
1.238568725585937500e+02,1.354370422363281250e+02
3.250142288208007812e+01,6.400473022460937500e+01
7.294461059570312500e+01,1.076134643554687500e+02
7.504146575927734375e+01,8.708178710937500000e+01
8.625608062744140625e+01,9.584325408935546875e+01
2.837061119079589844e+01,6.543046569824218750e+01
1.238302307128906250e+02,1.369550170898437500e+02
1.205133285522460938e+02,1.352683715820312500e+02
1.341683807373046875e+02,1.354063262939453125e+02
6.104833984375000000e+01,6.676453399658203125e+01
1.334145050048828125e+02,1.291539306640625000e+02
1.259297256469726562e+02,1.371866760253906250e+02
8.544640350341796875e+01,1.160189208984375000e+02
1.212007827758789062e+02,1.346446533203125000e+02
9.721140289306640625e+01,1.017976226806640625e+02
1.012120666503906250e+02,1.316530914306640625e+02
9.375418853759765625e+01,1.088368072509765625e+02
1.179775619506835938e+02,1.344293518066406250e+02
1.189490737915039062e+02,1.270273590087890625e+02
1.092541580200195312e+02,1.265345993041992188e+02
1.046615219116210938e+02,1.269095458984375000e+02
1.216366806030273438e+02,1.315704040527343750e+02
1.366082305908203125e+02,1.360966949462890625e+02
1.218991622924804688e+02,1.118107833862304688e+02
1.228930053710937500e+02,1.311853485107421875e+02
1.087499618530273438e+02,1.255481872558593750e+02
4.732191848754882812e+01,7.531622314453125000e+01
1.105411300659179688e+02,1.280823059082031250e+02
1.088431777954101562e+02,1.271631546020507812e+02
9.810231781005859375e+01,1.010646057128906250e+02
1.159846725463867188e+02,1.384193420410156250e+02
1.310319213867187500e+02,1.394993286132812500e+02
8.649505615234375000e+01,1.132868270874023438e+02
1.367424163818359375e+02,1.401978759765625000e+02
1.195597152709960938e+02,1.352768859863281250e+02
1.093552169799804688e+02,1.367760314941406250e+02
1.300071868896484375e+02,1.327995605468750000e+02
2.852271080017089844e+01,6.744406890869140625e+01
1.385615081787109375e+02,1.403386840820312500e+02
9.442684173583984375e+01,1.253274154663085938e+02
7.504196166992187500e+01,1.107042846679687500e+02
1.200090255737304688e+02,1.323023986816406250e+02
1.209764633178710938e+02,1.355530090332031250e+02
7.249110412597656250e+01,1.308207397460937500e+02
1.362946319580078125e+02,1.369795379638671875e+02
1.320104370117187500e+02,1.340860443115234375e+02
8.787601470947265625e+01,4.650952148437500000e+01
7.982147979736328125e+01,4.831613922119140625e+01
4.256963729858398438e+01,3.091568374633789062e+01
1.233818359375000000e+02,1.355664215087890625e+02
1.099917373657226562e+02,1.282713623046875000e+02
8.630043792724609375e+01,1.254088439941406250e+02
1.181689682006835938e+02,1.258956909179687500e+02
8.840230560302734375e+01,1.333955688476562500e+02
1.343247222900390625e+02,1.375410308837890625e+02
6.464606475830078125e+01,9.422085571289062500e+01
8.380159759521484375e+01,1.207490844726562500e+02
1.404456939697265625e+02,1.445286254882812500e+02
1.165660400390625000e+02,1.312465820312500000e+02
1.414260864257812500e+02,1.439866027832031250e+02
1.228166275024414062e+02,1.349728851318359375e+02
1.131198654174804688e+02,1.208838653564453125e+02
3.195014953613281250e+01,9.903509521484375000e+01
1.293126068115234375e+02,1.393567504882812500e+02
1.136812820434570312e+02,1.410277862548828125e+02
1.347635650634765625e+02,1.423712158203125000e+02
6.272720336914062500e+01,5.992406463623046875e+01
1.083909301757812500e+02,1.328192749023437500e+02
1.100957717895507812e+02,1.224510421752929688e+02
5.315747070312500000e+01,6.381369781494140625e+01
1.214583816528320312e+02,1.367601623535156250e+02
1.096531143188476562e+02,1.240980377197265625e+02
8.073751068115234375e+01,1.344685363769531250e+02
